front,back
"dispute","争论"
"disrupt","扰乱"
"dissolve","溶解"
"distinct","明显的"
"distinguish","区分"
"distort","扭曲"
"distribute","分配"
"disturb","打扰"
"diverse","多样的"
"dividend","股息"
"doctrine","教义；学说"
"documentary","纪录片"
"domain","领域"
"domestic","国内的"
"dominant","主导的"
"donate","捐赠"
"draft","草稿"
"durable","耐用的"
"duration","持续时间"
"dynamic","动态的"
"eccentric","古怪的"
"ecology","生态学"
"economy","经济"
"ecosystem","生态系统"
"edit","编辑"
"elaborate","详细的"
"eliminate","消除"
"elite","精英"
"eloquent","雄辩的"
"embed","嵌入"
"embrace","拥抱；接受"
"emerge","出现"
"emigrate","移居"
"emission","排放"
"emotion","情感"
"emphasis","强调"
"empirical","经验的"
"encounter","遇到"
"encyclopedia","百科全书"
"endure","忍受"
"enforce","执行"
"engage","参与"
"enterprise","企业"
"enthusiastic","热情的"
"entity","实体"
"entrepreneur","企业家"
"envision","设想"
"epidemic","流行病"
"episode","一段经历"
"equation","等式"
"equilibrium","平衡"
"equipment","设备"
"equivalent","等价的"
"erode","侵蚀"
"essential","基本的"
"establish","建立"
"estate","地产"
"estimate","估计"
"evaluate","评估"
"evaporate","蒸发"
"evidence","证据"
"evoke","唤起"
"evolution","进化"
"exaggerate","夸张"
"examine","检查"
"exceed","超过"
"exception","例外"
"excess","过量的"
"exclude","排除"
"execute","执行"
"exemplify","例证"
"exert","施加"
"exhaust","耗尽；排气"
"exhibit","展览"
"expand","扩大"
"expedition","远征"
"expenditure","支出"
"expertise","专长"
"explicit","明确的"
"exploit","开发；剥削"
"explore","探索"
"expose","暴露"
"extend","延伸"
"extensive","广泛的"
"extent","程度"
"exterior","外部的"
"external","外部的"
"extinct","灭绝的"
"extract","提取"
"extravagant","奢侈的"
"fabric","织物；结构"
"facilitate","促进"
"faculty","才能；全体教员"
"fatal","致命的"
"fatigue","疲劳"
"feasible","可行的"
"feature","特征"
"fertile","肥沃的"
"fierce","凶猛的"
"finance","金融"
"flexible","灵活的"
"flourish","繁荣"
"fluctuate","波动"
"forecast","预测"
"formidable","可怕的"
"formula","公式"
"foundation","基础"
"fraction","分数；小部分"
"fragment","碎片"
"framework","框架"
"franchise","特许经营权"
"friction","摩擦"
"frontier","边界"
"frustrate","使沮丧"
"fundamental","基本的"
"fungus","真菌"
"fuse","融合"
"futile","徒劳的"
"galaxy","星系"
"generate","产生"
"generous","慷慨的"
"genetic","遗传的"
"genius","天才"
"genre","类型"
"genuine","真正的"
"geology","地质学"
"gesture","手势"
"glacier","冰川"
"global","全球的"
"gorgeous","华丽的"
"govern","管理"
"gradual","逐渐的"
"grant","拨款；授予"
"graphic","图形的"
"grasp","抓住"
"grateful","感激的"
"gravity","重力"
"guarantee","保证"
"guideline","指导方针"
"gulf","海湾；鸿沟"
"habitat","栖息地"
"harness","利用"
"harsh","严厉的"
"heritage","遗产"
"highlight","强调"
"hinder","阻碍"
"horizon","地平线"
"horror","恐惧"
"hostile","敌意的"
"humble","谦逊的"
"hygiene","卫生"
"hypothesis","假设"
"identical","相同的"
"identify","识别"
"ideology","意识形态"
"ignorance","无知"
"illuminate","阐明"
"illustrate","说明"
"imaginary","想象的"
"immense","巨大的"
"immigrant","移民"
"immune","免疫的"
"impact","影响"
"impair","损害"
"implement","实施"
"implication","暗示"
"implicit","含蓄的"
"import","进口"
"impose","强加"
"impulse","冲动"
"inadequate","不充分的"
"inaugurate","开创"
"incentive","激励"
"incidence","发生率"
"inclination","倾向"
"include","包括"
"income","收入"
"incorporate","纳入"
"incredible","难以置信的"
"incur","招致"
"independent","独立的"
"indicate","指出"
"indigenous","本地的"
"indispensable","不可或缺的"
"individual","个人的"
"induce","引起"
"industrial","工业的"
"inevitable","不可避免的"
"infant","婴儿"
"infect","感染"
"inferior","低等的"
"inflation","通货膨胀"
"influence","影响"
"infrastructure","基础设施"
"inherent","固有的"
"inherit","继承"
"inhibit","抑制"
"initial","最初的"
"initiate","发起"
"inject","注射"
"innovation","创新"
"input","输入"
"inquiry","调查"
"insert","插入"
"insight","洞察力"
"inspect","检查"
"inspiration","灵感"
"installment","分期付款"
"institute","建立；学院"
"instrument","工具"
"insulate","隔离"
"insurance","保险"
"intact","完整的"
"integral","不可或缺的"
"integrate","整合"
"integrity","完整；正直"
"intellectual","智力的"
"intense","强烈的"
"intensive","密集的"
"interact","互动"
"interfere","干涉"
"interior","内部的"
"intermediate","中间的"
"interpret","解释"
"intervention","干预"
"intimate","亲密的"
"intimidate","恐吓"
"intricate","复杂的"
"intrinsic","内在的"
"invade","入侵"
"investigate","调查"
"investment","投资"
"invoke","援引"
"irrigation","灌溉"
"isolate","隔离"
"jeopardize","危及"
"journal","期刊"
"journalist","记者"
"judicial","司法的"
"justify","证明……正当"
"label","标签"
"landscape","风景"
"laptop","笔记本电脑"
"lateral","侧面的"
"launch","发射"
"lawsuit","诉讼"
"legacy","遗产"
"legislation","立法"
"legitimate","合法的"
"leisure","休闲"
"liable","有责任的"
"liberal","自由的"
"likelihood","可能性"
"limb","肢体"
"linger","逗留"
"literacy","读写能力"
"literal","字面的"
"litter","垃圾"
"livestock","牲畜"
"lobby","游说；大厅"
"locate","定位"
"locomotive","火车头"
"lucrative","有利可图的"
"luxury","奢侈"
"magnificent","壮丽的"
"magnitude","规模；重要性"
"maintenance","维护"
"majority","多数"
"manipulate","操纵"
"manufacture","制造"
"manuscript","手稿"
"marine","海洋的"
"massive","巨大的"
"mature","成熟的"
"mechanism","机制"
"media","媒体"
"mediate","调解"
"medieval","中世纪的"
"membrane","膜"
"memoir","回忆录"
"merchandise","商品"
"merely","仅仅"
"merit","优点"
"metabolism","新陈代谢"
"metropolitan","大都市的"
"migrate","迁移"
"militant","好斗的"
"millennium","千年"
"mineral","矿物"
"minimal","最小的"
"minimize","最小化"
"minimum","最小值"
"ministry","部；部门"
"minority","少数"
"moderate","适度的"
"modify","修改"
"monitor","监控"
"monopoly","垄断"
"morality","道德"
"moreover","此外"
"mortgage","抵押"
"motion","运动"
"motivate","激励"
"motive","动机"
"multitude","众多"
"municipal","市政的"
"mutual","相互的"
"naive","天真的"
"narrative","叙述"
"navigation","导航"
"necessity","必要性"
"negative","消极的"
"neglect","忽视"
"negotiate","谈判"
"neutral","中立的"
"nevertheless","然而"
"nominate","提名"
"norm","规范"
"notable","显著的"
"notify","通知"
"notion","概念"
"notwithstanding","尽管"
"nourish","滋养"
"novelty","新奇"
"nucleus","核心；原子核"
"nutrition","营养"
"obesity","肥胖"
"objection","反对"
"objective","目标"
"obligation","义务"
"obscure","模糊的"
"obsolete","过时的"
"obstacle","障碍"
"obtain","获得"
"occasion","场合"
"occupy","占据"
"offspring","后代"
"ongoing","持续的"
"opponent","对手"
"oppose","反对"
"oppress","压迫"
"optimum","最佳的"
"option","选择"
"orbit","轨道"
"orientation","方向"
"original","原始的"
"originate","起源于"
"outcome","结果"
"outdated","过时的"
"outline","概述"
"output","产出"
"overcome","克服"
"overhead","在头顶上的"
"overlap","重叠"
"overlook","忽视"
"overwhelming","压倒性的"
"owe","欠"
"ownership","所有权"
"oxygen","氧气"
"ozone","臭氧"
"pace","步伐"
"pamphlet","小册子"
"panel","专家组；面板"
"paradigm","范例"
"paradox","悖论"
"parallel","平行的"
"parameter","参数"
"parliament","议会"
"partial","部分的"
"participate","参加"
"particular","特别的"
"partner","伙伴"
"passive","被动的"
"patent","专利"
"pathetic","可怜的"
"patriotic","爱国的"
"pattern","模式"
"pave","铺路"
"payload","有效载荷"
"peak","顶峰"
"peculiar","独特的"
"peer","同龄人"
"penalty","惩罚"
"penetrate","渗透"
"pension","养老金"
"perceive","察觉"
"perform","执行"
"perfume","香水"
"periodical","期刊"
"permanent","永久的"
"permeate","渗透"
"permit","允许"
"persist","坚持"
"personnel","人事"
"perspective","视角"
"petition","请愿"
"phenomenon","现象"
"philosophy","哲学"
"photosynthesis","光合作用"
"pledge","承诺"
"plunge","暴跌"
"poll","民意调查"
"pollutant","污染物"
"populate","居住于"
"portable","便携的"
"portrait","肖像"
"pose","造成；姿势"
"positive","积极的"
"possess","拥有"
"postpone","推迟"
"potent","有效的"
"potential","潜力"
"practitioner","从业者"
"precaution","预防措施"
"precede","先于"
"precious","珍贵的"
"precise","精确的"
"predator","捕食者"
"predecessor","前任"
"predict","预测"
"predominant","主要的"
"preliminary","初步的"
"premier","首要的"
"premise","前提"
"premium","保险费；额外的"
"prescribe","规定；开处方"
"preserve","保存"
"prevail","盛行"
"prevalent","流行的"
"prevent","预防"
"primitive","原始的"
"principal","主要的"
"priority","优先"
"privilege","特权"
"probe","探究"
"procedure","程序"
"proceed","继续"
"process","过程"
"proclaim","宣布"
"productive","多产的"
"profession","职业"
"profile","简介"
"profound","深刻的"
"prohibit","禁止"
"project","项目"
"proliferate","扩散"
"prolong","延长"
"prominent","突出的"
"promote","促进"
"prompt","促使"
"propagate","传播"
"propel","推进"
"property","财产；性质"
"proportion","比例"
"propose","提议"
"prospect","前景"
"protein","蛋白质"
"protocol","协议"
"provoke","激起"
"prudent","谨慎的"
"pursue","追求"
"qualitative","定性的"
"quantitative","定量的"
"questionnaire","问卷"
"quote","引用"
"radical","根本的"
"random","随机的"
"ratio","比率"
"rational","理性的"
"realm","领域"
"rear","后面的"
"reasonable","合理的"
"rebound","反弹"
"recall","召回；回忆"
"recession","衰退"
"recipient","接受者"
"recognize","承认"
"recommend","推荐"
"reconcile","调和"
"recovery","恢复"
"recruit","招募"
"recycle","回收"
"redundant","多余的"
"refine","提炼"
"reflect","反映"
"reform","改革"
"refute","反驳"
"regarding","关于"
"regime","政权"
"region","地区"
"register","注册"
"regulate","调节"
"rehabilitate","康复"
"reign","统治"
"reinforce","加强"
"reject","拒绝"
"relate","涉及"
"release","释放"
"relevant","相关的"
"reliable","可靠的"
"reliant","依赖的"
"relief","减轻"
"reluctant","不情愿的"
"remain","保持"
"remarkable","显著的"
"remedy","补救"
"remote","偏远的"
"renaissance","文艺复兴"
"render","使成为"
"renew","更新"
"renowned","著名的"
"represent","代表"
"reproduce","繁殖；复制"
"republic","共和国"
"reputable","有声望的"
"reputation","声誉"
"require","需要"
"resemble","类似"
"reserve","储备"
"reside","居住"
"resign","辞职"
"resilient","有弹性的"
"resist","抵抗"
"resolution","决议"
"resolve","解决"
"respective","各自的"
"restore","恢复"
"restrict","限制"
"retain","保留"
"retard","延缓"
"reveal","揭示"
"revenue","收入"
"reverse","颠倒"
"revise","修订"
"revive","复苏"
"revolution","革命"
"rhythm","节奏"
"rigid","刚性的"
"rigorous","严格的"
"ritual","仪式"
"rival","对手"
"robust","强健的"
"routine","常规"
"rupture","破裂"
"sacrifice","牺牲"
"safeguard","保护"
"sake","缘故"
"salvage","挽救"
"scheme","计划；方案"
"scope","范围"
"scratch","从零开始"
"scrutiny","审查"
"secure","安全的"
"segment","部分"
"segregate","隔离"
"sensation","感觉"
"sentiment","情绪"
"sequence","顺序"
"session","会议"
"shelter","庇护所"
"shift","转变"
"shortage","短缺"
"shrink","缩小"
"signal","信号"
"significant","重要的"
"simplify","简化"
"simulate","模拟"
"simultaneous","同时的"
"skeptical","怀疑的"
"slack","懈怠的"
"slash","削减"
"slogan","口号"
"soar","猛增"
"solar","太阳能的"
"solicitor","律师"
"solidarity","团结"
"sophisticated","精密的；复杂的"
"source","来源"
"sow","播种"
"sovereign","主权的"
"span","跨度"
"spark","引发"
"specification","规格"
"specimen","标本"
"spectacular","壮观的"
"spectrum","光谱；范围"
"speculate","推测"
"sphere","领域；球体"
"spontaneous","自发的"
"spouse","配偶"
"squeeze","挤压"
"stability","稳定性"
"stake","利害关系"
"stagnant","停滞的"
"stakeholder","利益相关者"
"statistics","统计学"
"status","地位"
"steady","稳定的"
"stimulus","刺激"
"strategy","策略"
"strengthen","加强"
"stride","大步走"
"strike","罢工"
"stringent","严格的"
"structure","结构"
"struggle","斗争"
"submit","提交"
"subordinate","下级的"
"subsequent","随后的"
"subsidy","补贴"
"substantial","大量的"
"substitute","替代"
"subtle","微妙的"
"suburban","郊区的"
"succinct","简洁的"
"sufficient","足够的"
"suggest","建议"
"summarize","总结"
"summit","峰会"
"superior","优越的"
"supplement","补充"
"suppress","压制"
"supreme","最高的"
"surrender","投降"
"surveillance","监控"
"susceptible","易受影响的"
"suspend","暂停"
"sustain","维持"
"sustainable","可持续的"
"symptom","症状"
"synthesis","合成"
"tackle","处理"
"tangible","有形的"
"target","目标"
"teamwork","团队合作"
"temperament","性情"
"tempo","节奏"
"temporary","临时的"
"tenant","租户"
"terminal","终点的"
"terrain","地形"
"territory","领土"
"testimony","证词"
"texture","质地"
"theme","主题"
"theorem","定理"
"therapy","治疗"
"thereby","因此"
"thesis","论文"
"threshold","门槛"
"thriving","繁荣的"
"timber","木材"
"tolerance","容忍"
"tolerate","忍受"
"topography","地形学"
"torture","折磨"
"trace","追踪"
"tradition","传统"
"transaction","交易"
"transcript","成绩单"
"transfer","转移"
"transform","转变"
"transition","过渡"
"transmit","传输"
"transparent","透明的"
"transplant","移植"
"transport","运输"
"trauma","创伤"
"trend","趋势"
"trigger","引发"
"triple","三倍的"
"triumph","胜利"
"tropical","热带的"
"tsunami","海啸"
"tuition","学费"
"turbulence","动荡"
"turnover","营业额"
"tutor","导师"
"typical","典型的"
"ultimate","最终的"
"unanimous","一致同意的"
"undergo","经历"
"underline","强调"
"undertake","承担"
"unemployed","失业的"
"unprecedented","前所未有的"
"unveil","揭示"
"upgrade","升级"
"uphold","支持"
"urban","城市的"
"urgent","紧急的"
"utility","效用"
"utilize","利用"
"utmost","最大的"
"utter","完全的"
"vacuum","真空"
"valid","有效的"
"valuate","估值"
"vanish","消失"
"variable","变量"
"venture","冒险"
"verbal","口头的"
"verify","验证"
"versatile","多才多艺的"
"version","版本"
"vertical","垂直的"
"viable","可行的"
"vibrant","充满活力的"
"vice","恶习；副的"
"vigorous","有力的"
"violate","违反"
"virtual","虚拟的"
"visual","视觉的"
"vital","至关重要的"
"vivid","生动的"
"volatile","不稳定的"
"volume","体积；音量"
"voluntary","自愿的"
"vulnerable","脆弱的"
"warehouse","仓库"
"warranty","保修"
"weaken","削弱"
"weapon","武器"
"whereas","然而"
"wholesale","批发"
"widespread","广泛的"
"witness","目击者"
"workforce","劳动力"
"worship","崇拜"
"worthwhile","值得的"
"yield","产出；屈服"
"zeal","热情"
"zone","区域"
