front,back
"commercial","商业的"
"commit","犯罪；承诺"
"communicate","交流"
"community","社区"
"companion","同伴"
"compare","比较"
"compel","强迫"
"compensate","补偿"
"compete","竞争"
"competent","有能力的"
"competition","竞争；比赛"
"complain","抱怨"
"complex","复杂的"
"component","组成部分"
"compose","组成；作曲"
"comprehensive","全面的"
"compromise","妥协"
"compulsory","义务的；强制的"
"concentrate","集中"
"concept","概念"
"concern","关心；担忧"
"conclude","总结；得出结论"
"concrete","具体的；混凝土"
"condition","条件；状况"
"conduct","进行；行为"
"conference","会议"
"confess","承认；坦白"
"confidence","信心"
"confirm","确认"
"conflict","冲突"
"confuse","使困惑"
"connect","连接"
"conscience","良心"
"conscious","有意识的"
"consequence","结果；后果"
"conservation","保护；保存"
"conservative","保守的"
"consider","考虑"
"consist","由……组成"
"constant","不断的；恒定的"
"constitute","构成"
"construct","建造"
"consult","咨询"
"consume","消费；消耗"
"contact","联系"
"contain","包含"
"contemporary","当代的"
"content","内容；满足的"
"contest","比赛；竞赛"
"context","上下文；背景"
"continent","大陆"
"contradict","矛盾；反驳"
"contrary","相反的"
"contrast","对比"
"contribute","贡献；投稿"
"control","控制"
"convenient","方便的"
"convention","惯例；大会"
"convince","说服"
"cooperate","合作"
"courage","勇气"
"crash","碰撞；坠毁"
"creative","创造性的"
"creature","生物"
"crisis","危机"
"criterion","标准"
"critical","批评的；关键的"
"cultivate","培养"
"culture","文化"
"curiosity","好奇心"
"curious","好奇的"
"currency","货币"
"current","当前的；水流"
"custom","风俗"
"deadline","截止日期"
"debate","辩论"
"debt","债务"
"decade","十年"
"declare","宣布"
"decline","下降；拒绝"
"decorate","装饰"
"decrease","减少"
"defeat","打败"
"defend","防御；辩护"
"define","定义"
"definite","明确的"
"degree","学位；程度"
"delay","延迟"
"delete","删除"
"deliberate","故意的"
"delicate","精致的；脆弱的"
"deliver","递送"
"demand","需求；要求"
"demonstrate","证明；示范"
"deny","否认"
"depart","离开"
"depend","依赖"
"deposit","存款；沉积"
"depressed","沮丧的"
"deserve","值得"
"design","设计"
"desire","渴望"
"desperate","绝望的"
"destination","目的地"
"destroy","破坏"
"detect","发现；侦破"
"determine","决定"
"develop","发展"
"device","装置；设备"
"devote","奉献；致力于"
"digital","数字的"
"dimension","维度"
"diploma","文凭"
"disaster","灾难"
"discipline","纪律；学科"
"discount","折扣"
"discover","发现"
"discovery","发现"
"discrimination","歧视"
"display","展示"
"dispute","争论"
"distance","距离"
"distinguish","区分"
"distribute","分配；分发"
"disturb","打扰"
"diverse","多样的"
"divide","分开"
"domestic","国内的；家庭的"
"dominant","占主导地位的"
"donate","捐赠"
"draft","草稿"
"drama","戏剧"
"drastic","激烈的"
"due","到期的；应得的"
"dull","迟钝的；无聊的"
"durable","耐用的"
"dynamic","动态的；充满活力的"
"eager","渴望的"
"economy","经济"
"edition","版本"
"editor","编辑"
"educate","教育"
"effective","有效的"
"efficient","高效的"
"elaborate","精心的；详细的"
"election","选举"
"elegant","优雅的"
"element","元素"
"eliminate","消除"
"emergency","紧急情况"
"emotion","情感"
"emphasis","强调"
"employ","雇用"
"enable","使能够"
"encounter","遇到"
"encourage","鼓励"
"endure","忍受"
"energy","能量"
"engage","参与；吸引"
"enormous","巨大的"
"ensure","确保"
"enterprise","企业"
"enthusiasm","热情"
"entire","整个的"
"environment","环境"
"envy","嫉妒"
"equal","平等的"
"equip","装备"
"error","错误"
"escape","逃脱"
"essential","基本的；必要的"
"establish","建立"
"estimate","估计"
"evaluate","评估"
"evidence","证据"
"evident","明显的"
"evil","邪恶的"
"evolution","进化"
"exaggerate","夸张"
"examine","检查"
"exceed","超过"
"excellent","优秀的"
"exception","例外"
"exchange","交换"
"excite","使兴奋"
"exclude","排除"
"executive","执行的；主管"
"exercise","练习；锻炼"
"exhibit","展览"
"exist","存在"
"expand","扩大"
"expect","期望"
"expense","费用"
"experiment","实验"
"expert","专家"
"explicit","明确的"
"exploit","开发；剥削"
"explore","探索"
"export","出口"
"expose","暴露"
"expression","表达；表情"
"extend","延伸"
"extent","程度"
"extraordinary","非凡的"
"extreme","极端的"
"facility","设施"
"factor","因素"
"failure","失败"
"faith","信仰；信任"
"familiar","熟悉的"
"fancy","想象的；花哨的"
"fantastic","极好的"
"fascinate","使着迷"
"fate","命运"
"fault","过错"
"favor","支持；恩惠"
"feature","特征；特色"
"fertile","肥沃的"
"fiction","小说；虚构"
"figure","数字；人物；身材"
"finance","金融"
"flexible","灵活的"
"flight","航班"
"float","漂浮"
"focus","集中"
"forbid","禁止"
"forecast","预测"
"foreign","外国的"
"forever","永远"
"forgive","原谅"
"formal","正式的"
"former","以前的"
"formula","公式"
"fortune","运气；财富"
"foundation","基础；基金会"
"fragile","脆弱的"
"frame","框架"
"frequency","频率"
"frequent","频繁的"
"friction","摩擦"
"frontier","边界"
"frustrate","使沮丧"
"fulfill","实现；履行"
"function","功能；作用"
"fund","基金"
"fundamental","基本的"
"furnish","装修；提供"
"gallon","加仑"
"gap","差距；缺口"
"garlic","大蒜"
"gather","聚集"
"gaze","凝视"
"generate","产生"
"generous","慷慨的"
"genius","天才"
"genuine","真正的"
"gesture","手势"
"global","全球的"
"govern","管理；统治"
"grace","优雅"
"gradual","逐渐的"
"grant","授予；拨款"
"grasp","抓住；理解"
"grateful","感激的"
"gravity","重力"
"guarantee","保证"
"guard","守卫"
"guidance","指导"
"guilty","有罪的"
"habit","习惯"
"handle","处理"
"handful","一把；少数"
"harbor","港口"
"hardship","困难"
"harm","伤害"
"harmony","和谐"
"harvest","收获"
"hesitate","犹豫"
"highlight","强调；亮点"
"hire","雇佣"
"horizon","地平线"
"horror","恐惧"
"hostile","敌意的"
"humble","谦虚的"
"humor","幽默"
"identify","识别；确认"
"ignore","忽视"
"illegal","非法的"
"image","形象；图像"
"immediate","立即的"
"impact","影响；冲击"
"imply","暗示"
"import","进口"
"impose","强加"
"impress","使印象深刻"
"improve","改善"
"incident","事件"
"incredible","难以置信的"
"independent","独立的"
"indicate","表明"
"individual","个人的"
"industry","工业"
"infant","婴儿"
"influence","影响"
"inform","通知"
"ingredient","成分；原料"
"initial","最初的"
"innocent","无辜的"
"innovation","创新"
"input","输入"
"inquire","询问"
"insert","插入"
"insight","洞察力"
"insist","坚持"
"inspect","检查"
"inspire","激励"
"institute","学院；建立"
"instruct","指导"
"instrument","工具；乐器"
"insurance","保险"
"intellectual","智力的"
"intelligent","聪明的"
"intend","打算"
"intense","强烈的"
"intention","意图"
"interact","互动"
"interior","内部的"
"interpret","解释；口译"
"interrupt","打断"
"interval","间隔"
"interview","面试；采访"
"intimate","亲密的"
"introduce","介绍"
"invade","入侵"
"invest","投资"
"investigate","调查"
"invisible","看不见的"
"involve","涉及"
"isolate","隔离"
"issue","问题；发行"
"jealous","嫉妒的"
"journal","日志；期刊"
"journalist","记者"
"judge","判断；法官"
"justice","正义"
"justify","证明……正当"
"keen","渴望的；敏锐的"
"launch","发射；发起"
"layer","层"
"leadership","领导力"
"league","联盟"
"lean","倚靠；瘦的"
"legal","合法的"
"leisure","休闲"
"liberal","自由的"
"liberty","自由"
"likewise","同样地"
"limit","限制"
"literary","文学的"
"litter","垃圾；乱扔"
"loan","贷款"
"locate","定位"
"logical","合乎逻辑的"
"loose","松的"
"luxury","奢侈"
"magnificent","壮丽的"
"maintain","维持"
"major","主要的"
"manage","管理"
"mankind","人类"
"manner","方式；礼貌"
"manual","手动的；手册"
"manufacture","制造"
"margin","边缘；利润"
"master","掌握；主人"
"material","材料"
"mature","成熟的"
"maximum","最大的"
"measure","测量；措施"
"mechanism","机制"
"media","媒体"
"medicine","药物；医学"
"mental","精神的"
"merchant","商人"
"mercy","怜悯"
"merely","仅仅"
"method","方法"
"military","军事的"
"minimum","最小的"
"minister","部长"
"minor","较小的"
"miracle","奇迹"
"moderate","适度的"
"modify","修改"
"monitor","监控"
"moral","道德的"
"motivate","激励"
"motive","动机"
"multiply","增加；繁殖"
"mutual","相互的"
"mysterious","神秘的"
"narrow","狭窄的"
"nation","国家"
"native","本地的；本族人"
"navigation","导航"
"negative","消极的"
"neglect","忽视"
"negotiate","谈判"
"network","网络"
"neutral","中立的"
"nightmare","噩梦"
"noble","高贵的"
"normal","正常的"
"notion","概念"
"nuclear","核的"
"numerous","众多的"
"nutrition","营养"
"object","反对；物体"
"objective","目标；客观的"
"obligation","义务"
"observe","观察"
"obtain","获得"
"obvious","明显的"
"occasion","场合"
"occupy","占据"
"occur","发生"
"offend","冒犯"
"official","官方的"
"operate","操作"
"opinion","意见"
"opponent","对手"
"opportunity","机会"
"oppose","反对"
"option","选择"
"oral","口头的"
"orbit","轨道"
"ordinary","普通的"
"organ","器官"
"organize","组织"
"origin","起源"
"original","原始的；独创的"
"outcome","结果"
"overcome","克服"
"overlook","忽略；俯瞰"
"owe","欠"
"oxygen","氧气"
"pace","步伐"
"panel","面板；小组"
"parallel","平行的"
"participate","参加"
"particular","特别的"
"partner","伙伴"
"passion","热情"
"passive","被动的"
"patience","耐心"
"pattern","模式"
"pause","暂停"
"penalty","惩罚"
"pension","养老金"
"perceive","察觉"
"perform","执行；表演"
"permanent","永久的"
"permit","允许"
"persist","坚持"
"perspective","观点；视角"
"persuade","说服"
"phenomenon","现象"
"philosophy","哲学"
"physical","身体的"
"planet","行星"
"platform","平台"
"pleasant","愉快的"
"pledge","承诺"
"plunge","投入；暴跌"
"poison","毒药"
"policy","政策"
"polish","磨光；润色"
"politics","政治"
"pollution","污染"
"popular","受欢迎的"
"population","人口"
"portable","便携的"
"portrait","肖像"
"positive","积极的"
"possess","拥有"
"postpone","推迟"
"potential","潜在的；潜力"
"poverty","贫穷"
"practical","实际的"
"precious","珍贵的"
"precise","精确的"
"predict","预测"
"prefer","更喜欢"
"prejudice","偏见"
"preserve","保存"
"pressure","压力"
"pretend","假装"
"previous","以前的"
"primarily","主要地"
"primary","主要的；初级的"
"principle","原则"
"priority","优先"
"privilege","特权"
"procedure","程序"
"process","过程"
"profession","职业"
"profit","利润"
"program","节目；程序"
"progress","进步"
"project","项目"
"promote","促进；推广"
"prompt","促使；迅速的"
"proportion","比例"
"propose","建议；求婚"
"prospect","前景"
"protect","保护"
"protest","抗议"
"prove","证明"
"provide","提供"
"province","省份"
"publish","出版"
"purchase","购买"
"pursue","追求"
"qualify","使有资格"
"quantity","数量"
"queue","队列"
"quit","放弃；退出"
"quote","引用"
"random","随机的"
"range","范围"
"rank","等级；排名"
"rapid","迅速的"
"rare","稀有的"
"ratio","比率"
"reaction","反应"
"realistic","现实的"
"reality","现实"
"reasonable","合理的"
"recall","回忆"
"recognize","认出；承认"
"recommend","推荐"
"recover","恢复"
"recycle","回收"
"reduce","减少"
"refer","参考"
"reflect","反映"
"reform","改革"
"refuse","拒绝"
"register","注册"
"regulate","调节"
"reject","拒绝"
"relate","涉及"
"relationship","关系"
"relative","亲属；相对的"
"release","释放"
"relevant","相关的"
"relief","减轻；救济"
"religion","宗教"
"reluctant","不情愿的"
"rely","依赖"
"remain","保持；剩余"
"remark","评论"
"remind","提醒"
"remote","偏远的"
"remove","移除"
"renew","更新"
"rent","租金；租"
"repair","修理"
"repeat","重复"
"replace","替换"
"represent","代表"
"republic","共和国"
"reputation","名声"
"request","请求"
"require","需要"
"rescue","救援"
"research","研究"
"reserve","储备；预订"
"resign","辞职"
"resist","抵抗"
"resolve","解决"
"resource","资源"
"respond","回应"
"responsible","负责任的"
"restore","恢复"
"restrict","限制"
"result","结果"
"retire","退休"
"reveal","揭示"
"revenue","收入"
"reverse","相反的；颠倒"
"review","复习；评论"
"revolution","革命"
"reward","奖励"
"rhythm","节奏"
"rigid","严格的"
"risk","风险"
"rival","对手"
"role","角色"
"routine","常规"
"royal","皇家的"
"ruin","毁灭"
"sacrifice","牺牲"
"salary","工资"
"sample","样品"
"satisfy","使满意"
"scale","规模；刻度"
"scatter","分散"
"scene","场景"
"schedule","日程表"
"scholar","学者"
"scholarship","奖学金"
"scope","范围"
"scratch","抓；划"
"security","安全"
"seek","寻找"
"select","选择"
"sense","感觉"
"sensitive","敏感的"
"separate","分开的"
"sequence","顺序"
"series","系列"
"session","会议"
"settle","解决；定居"
"severe","严重的"
"shadow","影子"
"shallow","浅的"
"shelter","庇护所"
"shift","转变"
"shortage","短缺"
"shrink","缩小"
"signal","信号"
"significant","重要的"
"similar","相似的"
"simplify","简化"
"sincere","真诚的"
"situation","情况"
"skill","技能"
"slavery","奴隶制"
"slight","轻微的"
"slim","苗条的"
"smooth","光滑的；顺利的"
"social","社会的"
"software","软件"
"solution","解决方案"
"solve","解决"
"sophisticated","复杂的；精密的"
"source","来源"
"specific","具体的"
"sponsor","赞助"
"spot","地点；发现"
"stable","稳定的"
"standard","标准"
"status","地位"
"steady","稳定的"
"stimulate","刺激"
"strategy","策略"
"strength","力量"
"stress","压力"
"stretch","伸展"
"strict","严格的"
"strike","罢工"
"structure","结构"
"struggle","斗争"
"style","风格"
"submit","提交"
"substance","物质"
"substitute","替代品"
"succeed","成功"
"sufficient","足够的"
"suggest","建议"
"summarize","总结"
"superior","优越的"
"supplement","补充"
"supply","供应"
"support","支持"
"suppose","假设"
"supreme","最高的"
"surgery","手术"
"surplus","剩余的"
"survive","幸存"
"suspect","怀疑"
"suspend","暂停；悬挂"
"sustain","维持"
"sweetheart","心上人"
"symbol","象征"
"sympathy","同情"
"symptom","症状"
"system","系统"
"talent","天赋"
"target","目标"
"tax","税"
"technique","技术"
"technology","技术"
"temporary","临时的"
"tend","倾向于"
"tendency","趋势"
"terminal","终点站"
"territory","领土"
"theory","理论"
"therapy","治疗"
"therefore","因此"
"thorough","彻底的"
"threat","威胁"
"threaten","威胁"
"thrive","繁荣"
"tip","提示；小费"
"tissue","组织；纸巾"
"tolerance","容忍"
"tolerate","容忍"
"topic","话题"
"torture","折磨"
"total","总计的"
"tourism","旅游业"
"trace","追踪"
"trademark","商标"
"tradition","传统"
"transfer","转移"
"transform","转变"
"transition","过渡"
"translate","翻译"
"transparent","透明的"
"transport","运输"
"trend","趋势"
"trial","审判；试验"
"triumph","胜利"
"tropical","热带的"
"trust","信任"
"typical","典型的"
"ultimate","最终的"
"undergo","经历"
"undertake","承担"
"unemployment","失业"
"unfair","不公平的"
"uniform","制服"
"union","联盟"
"unique","独特的"
"universal","普遍的"
"update","更新"
"urge","催促"
"urgent","紧急的"
"utilize","利用"
"vacant","空缺的"
"vague","模糊的"
"valid","有效的"
"value","价值"
"vanish","消失"
"variety","多样性"
"vehicle","车辆"
"venture","冒险"
"version","版本"
"victim","受害者"
"violence","暴力"
"virtue","美德"
"visible","可见的"
"vision","视力；远见"
"vital","至关重要的"
"vivid","生动的"
"vocabulary","词汇"
"volcano","火山"
"volume","体积；音量"
"voluntary","自愿的"
"volunteer","志愿者"
"vote","投票"
"wage","工资"
"warn","警告"
"wealth","财富"
"weapon","武器"
"welfare","福利"
"whisper","低语"
"widespread","广泛的"
"wisdom","智慧"
"witness","目击者"
"worship","崇拜"
"worthwhile","值得的"
"wound","伤口"
"wrap","包裹"
"yield","产出；屈服"
"youth","青春"
"zone","区域"
