front,back
"connection","连接；关系"
"conscious","有意识的；自觉的"
"consequence","后果；结果"
"construction","建设；建筑"
"consumer","消费者"
"continent","大陆；洲"
"contrast","对比；差异"
"creature","生物；动物"
"crisis","危机"
"critical","批评的；关键的"
"curiosity","好奇心"
"debate","辩论；争论"
"decline","下降；衰退"
"defeat","击败；战胜"
"defend","防御；保卫"
"definition","定义；释义"
"deliver","递送；发表"
"demand","需求；要求"
"departure","离开；出发"
"deposit","存款；沉积物"
"despite","尽管；不顾"
"device","装置；设备"
"diet","饮食"
"digest","消化；摘要"
"disaster","灾难"
"discipline","纪律；学科"
"display","展示；显示"
"dispose","处理；安排"
"distribution","分配；分布"
"domestic","国内的；家庭的"
"dominant","占主导地位的"
"economy","经济"
"education","教育"
"efficient","高效的"
"election","选举"
"element","元素；要素"
"emerge","出现；浮现"
"emotion","情感；情绪"
"emphasize","强调"
"encounter","遭遇；偶遇"
"enterprise","企业；事业"
"enthusiasm","热情；热忱"
"entire","整个的；全部的"
"era","时代；纪元"
"evolution","进化；演变"
"exhibit","展览；展示"
"expense","费用；开支"
"experiment","实验"
"expert","专家"
"exposure","暴露；接触"
"extinction","灭绝"
"extraordinary","非凡的；特别的"
"facility","设施；设备"
"fatigue","疲劳；疲乏"
"feature","特征；特色"
"fertile","肥沃的；富饶的"
"flexible","灵活的；可弯曲的"
"formation","形成；构成"
"fortune","财富；运气"
"foundation","基础；基金会"
"function","功能；作用"
"gallon","加仑"
"generation","一代；产生"
"geography","地理"
"globe","地球；球体"
"grateful","感激的"
"habitat","栖息地"
"hazard","危险；风险"
"heritage","遗产；传统"
"horizon","地平线；视野"
"identical","完全相同的"
"impact","影响；冲击"
"impression","印象"
"incident","事件；事故"
"incredible","难以置信的"
"independent","独立的"
"industry","工业；产业"
"ingredient","成分；原料"
"initial","最初的"
"innocent","无辜的；天真的"
"input","输入；投入"
"institute","学院；机构"
"instrument","仪器；乐器"
"intelligent","聪明的；智能的"
"intention","意图；目的"
"interpret","解释；口译"
"interview","面试；采访"
"introduce","介绍；引进"
"invasion","入侵；侵略"
"invention","发明"
"involve","涉及；包含"
"isolate","隔离；孤立"
"journal","期刊；日志"
"landscape","风景；景观"
"launch","发射；发起"
"legislation","立法；法律"
"liberty","自由"
"literature","文学"
"magnificent","壮丽的；宏伟的"
"manufacture","制造；生产"
"material","材料；物质的"
"measure","测量；措施"
"mechanism","机制；机械装置"
"media","媒体"
"medicine","医学；药物"
"mention","提及；说起"
"migration","迁移；移民"
"mineral","矿物；矿物质"
"minor","较小的；次要的"
"moderate","适度的；温和的"
"molecule","分子"
"monitor","监控；显示器"
"multiple","多个的；多样的"
"navigate","导航；航行"
"noble","高贵的；贵族的"
"nutrition","营养"
"observe","观察；遵守"
"obtain","获得；得到"
"occupation","职业；占领"
"operate","操作；运营"
"oppose","反对；对抗"
"origin","起源；来源"
"outcome","结果；成果"
"overcome","克服；战胜"
"particular","特定的；特别的"
"passenger","乘客"
"perceive","感知；察觉"
"permanent","永久的；长期的"
"permit","允许；许可证"
"perspective","观点；视角"
"photograph","照片"
"planet","行星"
"popular","流行的；受欢迎的"
"population","人口；种群"
"portion","部分；一份"
"poverty","贫穷"
"predict","预测"
"prefer","更喜欢；宁愿"
"principle","原则；原理"
"priority","优先事项"
"process","过程；加工"
"produce","生产；产生"
"profession","职业；专业"
"prohibit","禁止"
"promote","促进；推广"
"proportion","比例；部分"
"propose","提议；建议"
"prospect","前景；展望"
"protein","蛋白质"
"provide","提供；供应"
"publish","出版；发表"
"pursue","追求；从事"
"range","范围；幅度"
"reaction","反应"
"region","地区；区域"
"register","登记；注册"
"regulate","调节；管理"
"relief","缓解；救济"
"reluctant","不情愿的"
"remark","评论；言辞"
"remote","偏远的；遥远的"
"represent","代表；表示"
"reproduce","繁殖；复制"
"reputation","名誉；声望"
"resident","居民"
"resign","辞职"
"resist","抵抗；抵制"
"resolve","解决；决心"
"restore","恢复；修复"
"restrict","限制；约束"
"reveal","揭示；透露"
"revolution","革命"
"sacrifice","牺牲；献祭"
"satellite","卫星"
"satisfy","满足；使满意"
"scholar","学者"
"shelter","避难所；庇护"
"signal","信号；标志"
"solution","解决方案；溶液"
"species","物种"
"sponsor","赞助；发起人"
"stable","稳定的"
"stimulate","刺激；激励"
"substance","物质；实质"
"succeed","成功；继承"
"suggest","建议；暗示"
"survive","存活；幸存"
"suspect","怀疑；嫌疑犯"
"sustain","维持；支撑"
"symbol","象征；符号"
"technique","技术；技巧"
"temporary","暂时的；临时的"
"tendency","趋势；倾向"
"territory","领土；领域"
"threat","威胁；恐吓"
"tolerate","容忍；忍受"
"transfer","转移；转让"
"transport","运输；交通"
"treasure","财宝；珍宝"
"trend","趋势；潮流"
"unique","独特的；唯一的"
"vanish","消失；消散"
"vehicle","车辆；交通工具"
"vessel","容器；船；血管"
"victim","受害者"
"visible","可见的；看得见的"
"vocabulary","词汇"
"volcano","火山"
"welfare","福利；幸福"
"withdraw","撤回；提取"
