front,back
"build","建造；建设"
"building","建筑物"
"burn","燃烧"
"bus","公共汽车"
"business","商业；生意"
"busy","忙碌的"
"but","但是"
"butter","黄油"
"buy","买"
"cabbage","卷心菜"
"cake","蛋糕"
"call","叫；打电话"
"calm","平静的；冷静的"
"camera","照相机"
"camp","营地；露营"
"can","能；罐头"
"capital","首都；资本"
"captain","队长；船长"
"car","汽车"
"card","卡片；纸牌"
"care","关心；照顾"
"careful","小心的；仔细的"
"careless","粗心的"
"carry","携带；搬运"
"case","情况；箱子"
"cat","猫"
"catch","抓住；赶上"
"cause","原因；引起"
"celebrate","庆祝"
"center","中心"
"century","世纪"
"certain","确定的；某些"
"chair","椅子"
"chance","机会"
"change","改变；零钱"
"channel","频道；渠道"
"cheap","便宜的"
"check","检查；核实"
"cheese","奶酪"
"chicken","鸡；鸡肉"
"child","孩子"
"china","瓷器"
"chocolate","巧克力"
"choice","选择"
"choose","选择；挑选"
"church","教堂"
"circle","圆；圈子"
"city","城市"
"class","班级；课"
"classmate","同学"
"classroom","教室"
"clean","干净的；打扫"
"clear","清楚的；明确的"
"clever","聪明的"
"climate","气候"
"climb","爬；攀登"
"clock","钟"
"close","关闭的；亲近的"
"cloth","布；布料"
"clothes","衣服"
"cloud","云"
"club","俱乐部"
"coat","外套；上衣"
"coffee","咖啡"
"coin","硬币"
"cold","冷的；感冒"
"collect","收集"
"college","学院；大学"
"color","颜色"
"come","来"
"comfortable","舒适的"
"common","共同的；普通的"
"communicate","交流；沟通"
"community","社区"
"company","公司；陪伴"
"compare","比较；对比"
"competition","比赛；竞争"
"complete","完成的；完整的"
"computer","计算机"
"concentrate","集中；专心"
"concert","音乐会"
"condition","条件；状况"
"connect","连接"
"consider","考虑"
"continue","继续"
"control","控制"
"conversation","对话；会话"
"cook","烹饪；厨师"
"cool","凉爽的；酷的"
"copy","抄写；副本"
"corner","角落"
"correct","正确的；纠正"
"cost","花费；成本"
"cotton","棉花"
"cough","咳嗽"
"could","能够（过去式）"
"count","数；计算"
"country","国家；乡村"
"countryside","乡下；农村"
"couple","一对；夫妻"
"courage","勇气"
"cousin","表兄弟姐妹"
"cover","覆盖；封面"
"cross","穿过；交叉"
"cruel","残忍的"
"cry","哭；喊"
"culture","文化"
"cup","杯子"
"customer","顾客；客户"
"cut","切；剪"
"cycle","循环；骑车"
"dad","爸爸"
"daily","每日的；日常的"
"dance","跳舞"
"danger","危险"
"dangerous","危险的"
"dare","敢"
"dark","黑暗的"
"data","数据；资料"
"daughter","女儿"
"day","天；白天"
"dead","死的"
"deaf","聋的"
"deal","处理；交易"
"dear","亲爱的"
"death","死亡"
"December","十二月"
"decide","决定"
"decision","决定"
"deep","深的"
"delicious","美味的"
"deliver","递送；发表"
"demand","要求；需求"
"dentist","牙医"
"depend","依赖；取决于"
"describe","描述"
"desert","沙漠；甜点"
"design","设计"
"desire","渴望；欲望"
"desk","书桌"
"develop","发展；开发"
"development","发展"
"dictionary","字典"
"die","死亡"
"difference","差异；不同"
"different","不同的"
"difficult","困难的"
"difficulty","困难"
"dinner","晚餐；正餐"
"direction","方向"
"dirty","脏的"
"discover","发现"
"discuss","讨论"
"discussion","讨论"
"disease","疾病"
"dish","盘子；菜肴"
"display","展示；陈列"
"distance","距离"
"divide","分；划分"
"doctor","医生"
"dog","狗"
"dollar","美元"
"door","门"
"double","双倍的"
"doubt","怀疑"
"down","向下"
"draw","画；拉"
"dream","梦；梦想"
"dress","裙子；穿衣"
"drink","喝；饮料"
"drive","驾驶；驱赶"
"drop","落下；滴"
"dry","干的"
"during","在……期间"
"duty","责任；义务"
"each","每个"
"eager","渴望的"
"ear","耳朵"
"early","早的"
"earth","地球；泥土"
"east","东方"
"easy","容易的"
"eat","吃"
"education","教育"
"effect","效果；影响"
"effort","努力"
"egg","蛋"
"eight","八"
"either","两者之一；也不"
"elder","年长的"
"electric","电的"
"elephant","大象"
"else","其他的"
"email","电子邮件"
"empty","空的"
"encourage","鼓励"
"end","结束；末端"
"enemy","敌人"
"energy","能量；精力"
"engineer","工程师"
"enjoy","享受；喜爱"
"enough","足够的"
"enter","进入"
"environment","环境"
"escape","逃跑；逃脱"
"especially","特别地"
"even","甚至；即使"
"evening","晚上"
"event","事件；比赛项目"
"ever","曾经；究竟"
"every","每个"
"everybody","每个人"
"everyday","每天的；日常的"
"everyone","每个人"
"everything","每件事"
"everywhere","到处"
"exact","准确的；确切的"
"exam","考试"
"examine","检查；考试"
"example","例子；榜样"
"excellent","优秀的"
"except","除了"
"excited","兴奋的"
"exciting","令人兴奋的"
"excuse","借口；原谅"
"exercise","练习；锻炼"
"expect","期望；预料"
"expensive","昂贵的"
"experience","经验；经历"
"experiment","实验"
"explain","解释"
"express","表达"
"extra","额外的"
"eye","眼睛"
"face","脸；面对"
"fact","事实"
"fail","失败"
"fair","公平的"
"fall","落下；秋天"
"family","家庭"
"famous","著名的"
"fantastic","极好的"
"farm","农场"
"farmer","农民"
"fast","快的"
"fat","胖的"
"father","父亲"
"favorite","最喜欢的"
"feel","感觉"
"festival","节日"
"few","很少的"
"field","田地；领域"
"fight","打架；战斗"
"fill","装满"
"film","电影；胶片"
"final","最后的；决赛"
"find","找到；发现"
"fine","好的；精美的"
"finger","手指"
"finish","完成"
"fire","火"
"first","第一的"
"fish","鱼"
"fit","适合的；健康的"
"flat","平的；公寓"
"flight","航班"
"floor","地板"
"flower","花"
"fly","飞"
"follow","跟随；遵循"
"food","食物"
"fool","傻子；愚弄"
"foolish","愚蠢的"
"foot","脚"
"football","足球"
"for","为了"
"force","力量；强迫"
"foreign","外国的"
"forest","森林"
"forget","忘记"
"fork","叉"
"form","形式；表格"
"forty","四十"
"forward","向前的"
"found","找到（过去式）"
"four","四"
"free","自由的；免费的"
"fresh","新鲜的"
"Friday","星期五"
"friend","朋友"
"friendly","友好的"
"from","从"
"front","前面"
"fruit","水果"
"full","满的"
"fun","有趣的事"
"funny","有趣的；好笑的"
"future","未来"
"game","游戏；比赛"
"garden","花园"
"gate","大门"
"general","一般的；将军"
"gentle","温柔的；轻柔的"
"gentleman","绅士"
 geography","地理"
"gift","礼物；天赋"
"girl","女孩"
"give","给"
"glad","高兴的"
"glass","玻璃；玻璃杯"
"go","去"
"gold","金子；金色的"
"good","好的"
"goodbye","再见"
"government","政府"
"grade","等级；成绩"
"gradually","逐渐地"
"grandma","奶奶"
"grandpa","爷爷"
"grass","草"
"great","伟大的"
"green","绿色的"
"greet","问候"
"greeting","问候；祝贺"
"ground","地面"
"group","组；群"
"grow","生长；种植"
"guard","守卫；警卫"
"guess","猜测"
"guide","导游；指南"
"guitar","吉他"
"gym","体育馆"
"habit","习惯"
"hair","头发"
"half","一半"
"hall","大厅"
"hand","手"
"handle","处理；把手"
"happen","发生"
"happy","快乐的"
"hard","困难的；硬的"
"hardly","几乎不"
"harm","伤害"
 hat","帽子"
"hate","讨厌"
"have","有"
"he","他"
"head","头"
"health","健康"
"healthy","健康的"
"hear","听到"
"heart","心；心脏"
"heat","热"
"heavy","重的"
"height","高度"
"hello","你好"
"help","帮助"
"helpful","有帮助的"
"her","她的"
"here","这里"
"hero","英雄"
"hide","隐藏"
"high","高的"
"hill","小山"
"him","他"
"his","他的"
"history","历史"
"hit","打；击"
"hobby","爱好"
"hold","拿着；举行"
"hole","洞"
"holiday","假日"
"home","家"
"homework","家庭作业"
"honest","诚实的"
"hope","希望"
"horrible","可怕的"
"horse","马"
"hospital","医院"
"hot","热的"
"hotel","旅馆"
"hour","小时"
"house","房子"
"how","怎样"
"however","然而"
"huge","巨大的"
"human","人类"
"hundred","一百"
"hunger","饥饿"
"hurry","匆忙"
"hurt","伤害；疼痛"
"husband","丈夫"
"ice","冰"
"idea","主意；想法"
"if","如果"
"ill","生病的"
"imagine","想象"
"immediate","立即的"
"importance","重要性"
"important","重要的"
"impossible","不可能的"
"improve","改善；提高"
"in","在……里面"
"include","包括"
"increase","增加"
"information","信息"
"inside","在里面"
"insist","坚持"
"instead","代替；反而"
"instruction","指示；说明"
"interest","兴趣"
"interested","感兴趣的"
"interesting","有趣的"
"international","国际的"
"Internet","互联网"
"interview","面试；采访"
"introduce","介绍"
"introduction","介绍；引言"
"invent","发明"
"invitation","邀请"
"invite","邀请"
"island","岛"
"it","它"
"jacket","夹克"
"January","一月"
"job","工作"
"join","加入"
"joke","笑话"
"journey","旅程"
"joy","欢乐；喜悦"
"judge","判断；法官"
"juice","果汁"
"July","七月"
"jump","跳"
"June","六月"
"just","只是；刚才"
"keep","保持；保留"
"key","钥匙；关键的"
"kid","小孩"
"kill","杀死"
"kilometer","公里"
"kind","善良的；种类"
"king","国王"
"kiss","吻"
"kitchen","厨房"
"kite","风筝"
"knee","膝盖"
"knife","刀"
"know","知道"
"knowledge","知识"
"lady","女士"
"lake","湖"
"land","陆地；土地"
"language","语言"
"large","大的"
"last","最后的；持续"
"late","迟的"
"laugh","笑"
"law","法律"
"lazy","懒惰的"
"lead","领导；通向"
"leader","领导者"
"learn","学习"
"least","最少的"
"leave","离开；留下"
"left","左边的"
"leg","腿"
"lend","借出"
"lesson","课；教训"
"let","让"
"letter","信；字母"
"level","水平；等级"
"library","图书馆"
"lie","躺；说谎"
"life","生命；生活"
"lift","举起；电梯"
"light","光；轻的"
"like","喜欢；像"
"line","线；排"
"lion","狮子"
"list","列表"
"listen","听"
"little","小的；少的"
"live","住；活"
"local","当地的"
"long","长的"
"look","看"
"lose","丢失；输"
"lot","许多"
"loud","大声的"
"love","爱"
"lovely","可爱的"
"low","低的"
"luck","运气"
"lucky","幸运的"
"lunch","午餐"
"machine","机器"
"mad","疯狂的；生气的"
"magazine","杂志"
"magic","魔法"
"mail","邮件"
"main","主要的"
"major","主要的；专业"
"make","制造；使"
"man","男人"
"manage","管理；设法"
"manager","经理"
"many","许多"
"map","地图"
"March","三月"
"market","市场"
"match","比赛；火柴"
"matter","事情；物质"
"may","可能；可以"
"maybe","也许"
"meal","一餐"
"mean","意思是；意味着"
"meaning","意思"
"meat","肉"
"medicine","药；医学"
"meet","遇见；会面"
"meeting","会议"
"member","成员"
"memory","记忆"
"mend","修理"
"mention","提到"
"message","消息；信息"
"method","方法"
"middle","中间的"
"might","可能；力量"
"milk","牛奶"
"million","百万"
"mind","头脑；介意"
"mine","我的（名词性物主代词）"
"minute","分钟"
"mirror","镜子"
"miss","想念；错过"
"mistake","错误"
"mix","混合"
"model","模型；模特"
"modern","现代的"
"moment","时刻"
"money","钱"
"monkey","猴子"
"month","月"
"moon","月亮"
"more","更多的"
"morning","早上"
"most","最多的"
"mother","母亲"
"mountain","山"
"mouth","嘴"
"move","移动；感动"
"movie","电影"
"much","许多"
"museum","博物馆"
"music","音乐"
"must","必须"
"my","我的"
"name","名字"
"national","国家的"
"nature","自然"
"near","近的"
"nearly","几乎"
"necessary","必要的"
"neck","脖子"
"need","需要"
"neighbor","邻居"
"neither","两者都不"
"nervous","紧张的"
"net","网"
"never","从不"
"new","新的"
"news","新闻"
"newspaper","报纸"
"next","下一个"
"nice","好的"
"night","夜晚"
"nine","九"
"nobody","没有人"
"noise","噪音"
"none","没有一个"
"normal","正常的"
"north","北方"
"nose","鼻子"
"note","笔记；便条"
"nothing","没有什么"
"notice","注意；通知"
"novel","小说"
"November","十一月"
"now","现在"
"number","数字；号码"
"nurse","护士"
"object","物体；目标"
"ocean","海洋"
"October","十月"
"of","……的"
"off","离开；关"
"offer","提供；提议"
"office","办公室"
"often","经常"
"oil","油"
"old","旧的；老的"
"on","在……上面"
"once","一次；曾经"
"one","一"
"only","唯一的；仅仅"
"open","打开"
"operation","操作；手术"
"opinion","意见；看法"
"opposite","对面的；相反的"
"orange","橙子；橙色的"
"order","命令；顺序"
"other","其他的"
"our","我们的"
"out","外面"
"outside","在外面"
"over","在……上方；结束"
"own","自己的"
"page","页"
"pain","疼痛"
"paint","画；油漆"
"pair","一对"
"palace","宫殿"
"pale","苍白的"
"paper","纸；论文"
"pardon","原谅"
"parent","父亲（或母亲）"
"park","公园；停车"
"part","部分"
"particular","特别的"
"partner","伙伴；搭档"
"party","聚会；政党"
"pass","通过；传递"
"passage","段落；通道"
"passenger","乘客"
"past","过去的"
"path","小路"
"patient","耐心的；病人"
"pay","支付"
"peace","和平"
"pear","梨"
"pen","钢笔"
"pencil","铅笔"
"people","人们"
"perfect","完美的"
"perhaps","也许"
"period","时期；阶段"
"person","人"
"personal","个人的"
"pet","宠物"
"phone","电话"
"photo","照片"
"piano","钢琴"
"pick","挑选；捡"
"picnic","野餐"
"picture","图片"
"piece","一块；一片"
"pig","猪"
"pilot","飞行员"
"pineapple","菠萝"
"pink","粉色的"
"place","地方；放置"
"plan","计划"
"plane","飞机"
"planet","行星"
"plant","植物；种植"
"plastic","塑料的"
"plate","盘子"
"play","玩；播放"
"player","运动员；播放器"
"pleasant","令人愉快的"
"please","请；使高兴"
"pleasure","快乐；荣幸"
"plenty","大量的"
"pocket","口袋"
"poem","诗"
"point","点；指向"
"police","警察"
"polite","有礼貌的"
"pool","游泳池"
"poor","贫穷的；可怜的"
"popular","流行的；受欢迎的"
"population","人口"
"possible","可能的"
"post","邮寄；帖子"
"potato","土豆"
"pound","英镑；磅"
"practice","练习；实践"
"praise","表扬"
"prepare","准备"
"present","礼物；现在的"
"president","总统；主席"
"pretty","漂亮的；相当"
"prevent","防止；预防"
"price","价格"
"pride","骄傲"
"primary","初级的；主要的"
"print","打印"
"private","私人的"
"prize","奖品"
"probably","可能"
"problem","问题"
"produce","生产"
"program","节目；程序"
"progress","进步"
"project","项目；工程"
"promise","承诺"
"proper","适当的"
"protect","保护"
"proud","骄傲的"
"prove","证明"
"provide","提供"
"public","公共的"
"pull","拉"
"punish","惩罚"
"pupil","学生"
"purpose","目的"
"push","推"
"put","放"
"quality","质量"
"quarter","四分之一"
"queen","女王"
"question","问题"
"quick","快的"
"quiet","安静的"
"quite","相当"
"rabbit","兔子"
"race","赛跑；种族"
"radio","收音机"
"rain","雨；下雨"
"raise","举起；筹集"
"rapid","迅速的"
"reach","到达；伸手"
"read","读"
"ready","准备好的"
"real","真实的"
"realize","意识到；实现"
"really","真正地"
"reason","理由；原因"
"receive","收到"
"recent","最近的"
"record","记录；唱片"
"red","红色的"
"refuse","拒绝"
"relax","放松"
"remain","保持；留下"
"remember","记住"
"repair","修理"
"repeat","重复"
"reply","回复"
"report","报告"
"require","需要；要求"
"research","研究"
"respect","尊重"
"rest","休息"
"restaurant","餐厅"
"result","结果"
"retire","退休"
"return","返回"
"rice","米饭"
"rich","富有的"
"ride","骑；乘坐"
"right","对的；右边"
"ring","戒指；响"
"rise","上升"
"river","河"
"road","路"
"rock","岩石"
"room","房间"
"rule","规则"
"run","跑"
"rush","冲；匆忙"
"sad","悲伤的"
"safe","安全的"
"sail","航行"
"sadly","悲伤地"
"safety","安全"
"salt","盐"
"same","相同的"
"sand","沙"
"sandwich","三明治"
"save","拯救；节省"
"say","说"
"school","学校"
"science","科学"
"sea","海"
"search","搜索；寻找"
"season","季节"
"seat","座位"
"second","第二的；秒"
"secret","秘密"
"see","看见"
"seem","似乎"
"send","发送"
"sense","感觉；意识"
"sentence","句子"
"serious","严肃的；严重的"
"set","设置；一套"
"seven","七"
"several","几个"
"shake","摇动"
"shall","将要"
"shape","形状"
"share","分享"
"she","她"
"sheep","羊"
"shine","发光"
"ship","船"
"shirt","衬衫"
"shoe","鞋"
"shop","商店"
"short","短的；矮的"
"should","应该"
"shoulder","肩膀"
"shout","喊叫"
"show","展示；演出"
"shut","关上"
"sick","生病的"
"side","边"
"sight","视力；景象"
"sign","标志；签名"
"silly","愚蠢的"
"silver","银"
"similar","相似的"
"simple","简单的"
"since","自从；因为"
"sing","唱歌"
"sir","先生"
"sister","姐妹"
"sit","坐"
"situation","情况；处境"
"six","六"
"size","尺寸"
"skill","技能"
"skin","皮肤"
"sky","天空"
"sleep","睡觉"
"slow","慢的"
"small","小的"
"smell","闻；气味"
"smile","微笑"
"smoke","烟；吸烟"
"snow","雪"
"so","所以；如此"
"soccer","足球"
"social","社会的"
"sock","袜子"
"soft","柔软的"
"some","一些"
"somebody","某人"
"someone","某人"
"something","某物"
"sometimes","有时"
"somewhere","某处"
"son","儿子"
"song","歌曲"
"soon","很快"
"sorry","抱歉的"
"sort","种类；排序"
"soul","灵魂"
"sound","声音"
"south","南方"
"space","空间；太空"
"speak","说；讲"
"special","特别的"
"speed","速度"
"spell","拼写"
"spend","花费"
"spirit","精神"
"sport","运动"
"spread","传播"
"spring","春天"
"square","广场；正方形"
"stage","舞台；阶段"
"stair","楼梯"
"stamp","邮票"
"stand","站"
"standard","标准"
"star","星星"
"start","开始"
"state","状态；国家"
"station","车站"
"stay","停留"
"step","步骤；脚步"
"stick","棍子；粘"
"still","仍然"
"stomach","胃"
"stone","石头"
"stop","停止"
"store","商店；储存"
"storm","暴风雨"
"story","故事"
"straight","直的；直接地"
"strange","奇怪的"
"stranger","陌生人"
"street","街道"
"strict","严格的"
"strike","罢工；打"
"strong","强壮的"
"student","学生"
"study","学习"
"subject","科目；主题"
"succeed","成功"
"success","成功"
"such","如此的"
"suddenly","突然地"
"sugar","糖"
"suggest","建议"
"summer","夏天"
"sun","太阳"
"super","超级的"
"supper","晚餐"
"supply","供应"
"support","支持"
"suggest","建议"
"suitable","合适的"
"sure","确定的"
"surprise","惊奇；使惊讶"
"surround","包围"
"sweet","甜的"
"swim","游泳"
"system","系统"
"table","桌子"
"take","拿；带"
"taste","味道；品尝"
"taxi","出租车"
"tea","茶"
"teach","教"
"teacher","教师"
"team","队"
"technology","技术"
"telephone","电话"
"television","电视"
"tell","告诉"
"temperature","温度"
"ten","十"
"tennis","网球"
"term","学期"
"terrible","可怕的"
"test","测试"
"text","课文；文本"
"than","比"
"thank","感谢"
"that","那；那个"
"the","这；那"
"theater","剧院"
"their","他们的"
"them","他们"
"themselves","他们自己"
"then","然后"
"there","那里"
"these","这些"
"they","他们"
"thick","厚的"
"thin","瘦的；薄的"
"thing","东西；事情"
"think","想；认为"
"third","第三"
"thirsty","渴的"
"thirteen","十三"
"this","这个"
"those","那些"
"though","虽然"
"thought","想法"
"thousand","一千"
"three","三"
"through","通过；穿过"
"throw","扔"
"Thursday","星期四"
"ticket","票"
"tidy","整洁的"
"tie","领带；系"
"tiger","老虎"
"till","直到"
"time","时间"
"tiny","极小的"
"tired","疲倦的"
"title","标题"
"to","到；向"
"today","今天"
"together","一起"
"tomorrow","明天"
"tonight","今晚"
"tooth","牙齿"
"top","顶部"
"total","总的"
"touch","触摸"
"tour","旅行；旅游"
"tourist","游客"
"toward","向；朝"
"towel","毛巾"
"tower","塔"
"town","城镇"
"toy","玩具"
"tradition","传统"
"traffic","交通"
"train","火车；训练"
"travel","旅行"
"treasure","财宝"
"tree","树"
"trip","旅行"
"trouble","麻烦"
"truck","卡车"
"true","真的"
"trust","信任"
"truth","真相"
"try","尝试"
"Tuesday","星期二"
"turn","转；轮流"
"twice","两次"
"type","类型；打字"
"ugly","丑的"
"umbrella","雨伞"
"uncle","叔叔"
"under","在……下面"
"understand","理解"
"unhappy","不快乐的"
"uniform","制服"
"university","大学"
"unless","除非"
"until","直到"
"unusual","不寻常的"
"up","向上"
"upon","在……之上"
"upper","上面的"
"upset","心烦的"
"use","使用"
"used","习惯的；用过的"
"useful","有用的"
"usual","通常的"
"vacation","假期"
"valley","山谷"
"value","价值"
"vegetable","蔬菜"
"very","非常"
"victory","胜利"
"village","村庄"
"visit","参观；拜访"
"voice","声音；嗓音"
"volleyball","排球"
"wait","等待"
"wake","醒来"
"walk","走路"
"wall","墙"
"want","想要"
"war","战争"
"warm","温暖的"
"warn","警告"
"wash","洗"
"waste","浪费"
"watch","手表；观看"
"water","水"
"way","路；方法"
"weak","弱的"
"weakness","弱点"
"wealth","财富"
"wear","穿"
"weather","天气"
"website","网站"
"Wednesday","星期三"
"week","星期"
"weekend","周末"
"welcome","欢迎"
"well","好；健康的"
"west","西方"
"western","西方的"
"wet","湿的"
"what","什么"
"wheat","小麦"
"wheel","轮子"
"when","什么时候"
"where","哪里"
"whether","是否"
"which","哪一个"
"while","当……时候"
"white","白色的"
"who","谁"
"whole","整个的"
"why","为什么"
"wide","宽的"
"wife","妻子"
"will","将；意志"
"win","赢"
"wind","风"
"window","窗户"
"wine","葡萄酒"
"wing","翅膀"
"winner","获胜者"
"winter","冬天"
"wise","明智的"
"wish","希望"
"with","和；用"
"without","没有"
"woman","女人"
"wonder","想知道；奇迹"
"wonderful","精彩的"
"wood","木头"
"word","单词；话语"
"work","工作"
"world","世界"
"worry","担心"
"worse","更差的"
"worst","最差的"
"worth","值得的"
"would","将"
"wound","伤口"
"write","写"
"wrong","错误的"
"yard","院子"
"year","年"
"yellow","黄色的"
"yes","是"
"yesterday","昨天"
"yet","还；已经"
"you","你；你们"
"young","年轻的"
"your","你的"
"yourself","你自己"
"youth","青春；年轻人"
"zero","零"
"zoo","动物园"
